Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché
034220,LG DISPLAY LTD,Technologie de l'information,Corée,Korea Exchange (Stock Market),KRW
LODHA,LODHA DEVELOPERS LTD,Immobilier,Inde,National Stock Exchange Of India,INR
SHREECEM,SHREE CEMENT LTD,Matériaux,Inde,National Stock Exchange Of India,INR
0316,ORIENT OVERSEAS (INTERNATIONAL) LT,Industries,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
PIIND,P.I. INDUSTRIES LTD,Matériaux,Inde,National Stock Exchange Of India,INR
AC,AYALA CORP,Industries,Philippines,Philippine Stock Exchange Inc.,PHP
9880,UBTECH ROBOTICS CORP LTD H,Industries,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
BOSCHLTD,BOSCH LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
PRESTIGE,PRESTIGE ESTATES PROJECTS LTD,Immobilier,Inde,National Stock Exchange Of India,INR
6181,LAOPU GOLD LTD H,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
SM,SM INVESTMENTS CORP,Industries,Philippines,Philippine Stock Exchange Inc.,PHP
ASTRAL,ASTRAL LTD,Industries,Inde,National Stock Exchange Of India,INR
2525,HESAI GROUP CLASS B,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
326030,SK BIOPHARMACEUTICALS LTD,Santé,Corée,Korea Exchange (Stock Market),KRW
PAGEIND,PAGE INDUSTRIES LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,Santé,Inde,National Stock Exchange Of India,INR
9995,REMEGEN LTD H,Santé,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
443060,HD HYUNDAI MARINE SOLUTION LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
SBICARD,SBI CARDS & PAYMENT SERVICES LTD,Finance,Inde,National Stock Exchange Of India,INR
BALKRISIND,BALKRISHNA INDUSTRIES LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
OBEROIRLTY,OBEROI REALTY LTD,Immobilier,Inde,National Stock Exchange Of India,INR
TATACOMM,TATA COMMUNICATIONS LTD,La communication,Inde,National Stock Exchange Of India,INR
180640,HANJIN KAL,Biens de consommation cycliques,Corée,Korea Exchange (Stock Market),KRW
0TEL,PLDT INC,La communication,Philippines,Philippine Stock Exchange Inc.,PHP
2026,PONY AI INC,Technologie de l'information,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
OFSS,ORACLE FINANCIAL SERVICES SOFTWARE,Technologie de l'information,Inde,National Stock Exchange Of India,INR
PETDAG,PETRONAS DAGANGAN,Biens de consommation cycliques,Malaisie,Bursa Malaysia,MYR
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE CO,Finance,Inde,National Stock Exchange Of India,INR
9899,NETEASE CLOUD MUSIC INC,La communication,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
LEGN,LEGEND BIOTECH ADR REP CORP,Santé,Chine,NASDAQ,USD
032640,LG UPLUS CORP,La communication,Corée,Korea Exchange (Stock Market),KRW
NESTLE,NESTLE MALAYSIA,Biens de consommation de base,Malaisie,Bursa Malaysia,MYR
